CODIGO;NOMBRE;CAT. 2018-2;CAT. 2019-1;DEPARTAMENTO;PROVINCIA;DISTRITO;NUEVA REFERENCIA;REFERENCIA;DIRECIÓN;TS;MS;BI
2657;SANTA MARGARITA DE JESUS;4;T;LIMA;LIMA;SANTA ANITA;LIMA/LIMA/SANTA ANITA;LIMA / LIMA / SANTA ANITA;CALLE JOAQUIN INCLAN 380;;;
2658;CRISTO MISERICORDIOSO;4;T;LIMA;LIMA;SAN MARTIN DE PORRES;LIMA/LIMA/SAN MARTIN DE PORRES;LIMA / LIMA / SAN MARTIN DE PORRES;MANZANA D, LOTE 21 MAYORAZGO II;;;
2659;MONTERRICO CHRISTIAN SCHOOL;2;R;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;LIMA / LIMA / SANTIAGO DE SURCO;AV. LOS INGENIEROS MZ A LOTE 03-04;;;
2660;NIÑO JESUS DE PRAGA;4;T;LIMA;LIMA;PUNTA NEGRA;LIMA/LIMA/PUNTA NEGRA;LIMA / LIMA / PUNTA NEGRA;PANAMERICANA SUR CALLE A MZ K LOTE 19;;;
2661;TRENTO PERSHING;4;T;LIMA;LIMA;MAGDALENA DEL MAR;LIMA/LIMA/MAGDALENA DEL MAR;LIMA / LIMA / MAGDALENA DEL MAR;AV. FAUSTINO SANCHEZ CARRION 758;;;
2662;CIENTIFICO NIVEL A;3;S;LIMA;LIMA;LA MOLINA;LIMA/LIMA/LA MOLINA;LIMA / LIMA / LA MOLINA;AV. JAVIER PRADO ESTE 4639;x;;
2663;SAN MIGUEL DE VISO;4;T;LIMA;LIMA;EL AGUSTINO;LIMA/LIMA/EL AGUSTINO;LIMA / LIMA / EL AGUSTINO;SAN MIGUEL 119;;;
2664;CEBA BOURBAKI;4;T;LIMA;LIMA;SANTA ANITA;LIMA/LIMA/SANTA ANITA;LIMA / LIMA / SANTA ANITA;JR. LOS LIBERTADORES 344 MZ H LOTE 16 ETAPA II;;;
2665;EMANUEL CHRISTIAN SCHOOL;4;T;ICA;PISCO;PISCO;ICA/PISCO/PISCO;ICA / PISCO / PISCO;AV. ABRAHAM VALDELOMAR MZ I LOTE 14;;;
2666;SOR TERESA DE CALCUTA;4;T;JUNIN;HUANCAYO;HUANCAYO;JUNIN/HUANCAYO/HUANCAYO;JUNIN / HUANCAYO / HUANCAYO;CALLE SAN JOSE 499;;;
2667;SANTA MARIA REYNA;4;T;LIMA;LIMA;SURQUILLO;LIMA/LIMA/SURQUILLO;LIMA / LIMA / SURQUILLO;CALLE GABRIELA MISTRAL 274;;;
2668;CARL DAVID ANDERSON;4;T;LIMA;LIMA;PUENTE PIEDRA;LIMA/LIMA/PUENTE PIEDRA;LIMA / LIMA / PUENTE PIEDRA;AV. EL TRIUNFO 289;;;
2669;SANTA MARIA JOSEFA ROSSELLO;4;T;LIMA;LIMA;SURQUILLO;LIMA/LIMA/SURQUILLO;LIMA / LIMA / SURQUILLO;AV. VICTOR ALZAMORA 326;;;
2670;INNOVA SCHOOLS;4;T;LIMA;LIMA;CHORRILLOS;LIMA/LIMA/CHORRILLOS;LIMA / LIMA / CHORRILLOS;CALLE ALAMEDA DON AUGUSTO S/N MZ G-1 LOTE 2;;;
2671;CATOLICA HIGH SCHOOL;4;T;LIMA;LIMA;INDEPENDENCIA;LIMA/LIMA/INDEPENDENCIA;LIMA / LIMA / INDEPENDENCIA;AV. HURIN CUSCO S/N MZ H LOTE 9;;;
