number;name;remote_id;source;image;;;;
274;REGINA PACIS;3;S;LIMA;;;;
275;REYNA DEL SANTISIMO ROSARIO;4;T;ICA;;;;
276;REYNA DE LA PAZ;4;T;LIMA;;;;
277;REINA DE LAS AMERICAS;4;T;LIMA;;;;
278;REINA DE LOS ANGELES;3;S;LIMA;;;;
279;RESIDENCIAL MIRAFLORES;4;T;LIMA;;;;
280;ROSARIO DE FATIMA;4;T;LIMA;;;;
281;ROSA DE AMERICA;4;T;LIMA;;;;
282;ROSA DE LIMA;4;T;LIMA;;;;
283;REINA DEL MUNDO;3;S;LIMA;;;;
284;RICARDO PALMA;4;T;LIMA;;;;
285;FRANKLIN DELANO ROOSEVELT;1;P;LIMA;;;;
286;RECOLETA SS.CC.;3;S;LIMA;;;;
287;BELEN SS.CC.;4;S;LIMA;;;;
288;SOPHIANUM;3;S;LIMA;;;;
289;SOPHIANUM;4;T;AREQUIPA;;;;
290;DE MARIA;4;T;LIMA;;;;
291;SAGRADOS CORAZONES;4;T;LIMA;;;;
292;SAGRADOS CORAZONES;4;T;LIMA;;;;
293;SALESIANO;4;T;LIMA;;;;
294;EL PARAISO;4;T;LIMA;;;;
295;SALESIANO;4;T;CUSCO;;;;
296;SAGRADO CORAZON;4;T;LA LIBERTAD;;;;
297;SAGRADO CORAZON;4;T;ANCASH;;;;
298;SAN AGUSTIN - LIMA;3;S;LIMA;;;;
299;SAN AGUSTIN - LORETO;4;T;LORETO;;;;
300;SAN ANDRES;4;T;LIMA;;;;
301;SAN ANSELMO;4;T;LIMA;;;;
302;SAN ANTONIO;4;T;LIMA;;;;
303;SAN ANTONIO MARISTAS;4;T;LIMA;;;;
304;SAN ANTONIO VARONES;4;T;CALLAO;;;;
305;SAN ANTONIO ABAD;4;T;CUSCO;;;;
306;SAN ANTONIO DE PADUA;4;T;LIMA;;;;
307;SAN ANTONIO DE PADUA;4;T;AYACUCHO;;;;
308;SAN ANTONIO MARIA CLARET;4;T;LIMA;;;;
309;SAN CARLOS;4;T;LIMA;;;;
310;SAN JOSE;4;T;LIMA;;;;
311;SAN JULIAN;4;T;LIMA;;;;
312;SAN CIPRIANO;4;T;LIMA;;;;
313;SAN CLEMENTE;4;T;LIMA;;;;
314;SAN FELIPE;4;T;LIMA;;;;
316;SAN FRANCISCO DE SALES;4;T;ANCASH;;;;
317;SAN FRANCISCO DE BORJA;4;T;LIMA;;;;
318;SAN FRANCISCO;4;T;LIMA;;;;
319;SAN FRANCISCO DE ASIS;4;T;AREQUIPA;;;;
320;SAN FRANCISCO DE JAVIER;4;T;LIMA;;;;
321;SAN HILARION;4;T;LIMA;;;;
322;SAN IDELFONSO;4;T;LIMA;;;;
