id;name;;;;;;;
431;VICTOR E. VIVAR;;;;;;;
432;VILLA MARIA;;;;;;;
433;VILLA TERESA;;;;;;;
434;VILLA CARITAS;;;;;;;
435;VIRGEN DE LOURDES;;;;;;;
436;CRISTO REY (VEDRUNA);;;;;;;
437;VIRGEN MILAGROSA;;;;;;;
438;VIRGEN MILAGROSA;;;;;;;
439;VIRGEN MACARENA;;;;;;;
440;VIRGEN DEL CARMEN;;;;;;;
441;VIRGEN INMACULADA;;;;;;;
442;VILLA FATIMA;;;;;;;
443;WINNETKA;;;;;;;
444;WILSON;;;;;;;
445;WINSTON CHURCHILL;;;;;;;
446;ZARUMILLA;;;;;;;
447;VILLA LUISA DE HUNAY;;;;;;;
448;ALCIDES VIGO HURTADO (PIP);;;;;;;
449;AREQUIPA;;;;;;;
450;CARLOS CUETO FERNANDINI;;;;;;;
451;CLORINDA MATTO DE TURNER;;;;;;;
452;FE Y ALEGRIA (Todos);;;;;;;
453;HENRY MEIGGS;;;;;;;
454;JUAN INGUNZA;;;;;;;
455;SAN JOSE MARTIN (INST.COMERCIAL);;;;;;;
456;LA LIBERTAD;;;;;;;
457;MADRE AMABLE;;;;;;;
458;MARIA AUXILIADORA;;;;;;;
459;MIGUEL GRAU;;;;;;;
460;SAN LUIS REY;;;;;;;
461;NIÑO JESUS DE BELEN;;;;;;;
462;NIÑO JESUS DE PRAGA;;;;;;;
463;NUEVA EDUCACION;;;;;;;
464;RENACIMIENTO;;;;;;;
465;ROSA MARIA CHECA;;;;;;;
466;ROSENTHAL DE LA PUENTE / SALESIANO ROSENTHAL DE LA PUENTE;;;;;;;
468;SAN FRANCISCO SOLANO;;;;;;;
469;SANTA LUCIA;;;;;;;
470;SAN PEDRO CHANEL;;;;;;;
471;SAN ROQUE;;;;;;;
472;CESAR FAURA GOUBET (FAP);;;;;;;
473;SANTA CATALINA;;;;;;;
475;SANTA LUISA MARILLAC;;;;;;;
476;SANTA MARIA;;;;;;;
477;SANTA MARIA DE JESUS;;;;;;;
478;SANTA SOFIA;;;;;;;
479;VIRGEN DE BELEN;;;;;;;
480;PEDRO PAULET MOSTAJO;;;;;;;
481;JORGE BASADRE;;;;;;;
482;BRASILIA;;;;;;;
483;CORAZON DE JESUS;;;;;;;
484;EDUARDO DE HABICH;;;;;;;
485;FRATERNIDAD AMERICANA;;;;;;;
486;GUADALUPE;;;;;;;
487;HONORIO DELGADO;;;;;;;
488;JORGE BASADRE;;;;;;;
489;LICEO NAVAL F. CARRASCO;;;;;;;
490;SAN LUIS;;;;;;;
491;SANTA INES;;;;;;;
492;UCAYALI;;;;;;;
493;NUEVE DE DICIEMBRE;;;;;;;
494;ALBERT SCHWEITZER;;;;;;;
495;NUESTRA SEÑORA DE GUADALUPE;;;;;;;
496;I.E. MANUEL PARDO;;;;;;;
497;SAN ROMAN;;;;;;;
498;INDOAMERICANO;;;;;;;
499;JESUS NAZARENO;;;;;;;
500;PADRE ABAD;;;;;;;
501;FRANCISCO BOLOGNESI;;;;;;;
502;LA MERCED;;;;;;;
503;NUESTRA SEÑORA DE FATIMA;;;;;;;
504;SALAMANCA;;;;;;;
505;MARCOS LIBARDONI / MONSEÑOR MARCOS LIBARDONI;;;;;;;
506;POLITECNICO SALESIANO DE LIMA;;;;;;;
507;MAURICIO SIMONS;;;;;;;
508;CIRO ALEGRIA;;;;;;;
509;NUESTRA SEÑORA DE MONTECARMELO;;;;;;;
510;RICARDO PALMA;;;;;;;
511;SANTA MARINA;;;;;;;
512;JOHN F. KENNEDY;;;;;;;
513;SANTA MARIA REYNA;;;;;;;
515;CRISTO REY;;;;;;;
516;JUAN PABLO I;;;;;;;
517;JOSE ANDRES RAZURI;;;;;;;
518;SAN JUAN LUIS VIVES;;;;;;;
520;ABRAHAM TAVERA AGUIRRE;;;;;;;
521;ADVENTISTA DEL UCAYALI;;;;;;;
522;ADVENTISTA UNION;;;;;;;
523;ANGEL ALFREDO PRIALE;;;;;;;
524;ARBULU;;;;;;;
525;EL TRIUNFO;;;;;;;
526;HISPANO BRITANICO;;;;;;;
527;HOLLY GHOST;;;;;;;
528;HORACIO PATIÑO CRUZATTI;;;;;;;
529;HUMBERTO VIDAL UNDA;;;;;;;
530;JOHANNES GUTEMBERG;;;;;;;
531;LICEO COMERCIAL MIRAFLORES;;;;;;;
532;MADRE ADMIRABLE;;;;;;;
533;MARIA CURIE;;;;;;;
534;MIGUEL GRAU;;;;;;;
535;NUESTRA SEÑORA DEL ROSARIO;;;;;;;
536;SAN FABIAN;;;;;;;
537;SAN GABRIEL;;;;;;;
538;SAN GENARO;;;;;;;
539;SAN LUIS GONZAGA;;;;;;;
540;SAN PEDRO DE LURIN;;;;;;;
541;SAN PIO X;;;;;;;
542;ALEXANDER HAMILTON;;;;;;;
543;ALMIRANTE MIGUEL GRAU;;;;;;;
544;AMAUTA;;;;;;;
546;BEATA ANA MARIA JAVOUHEY;;;;;;;
547;CATOLICA LAS MERCEDES;;;;;;;
548;CESAR DIEZ CANSECO;;;;;;;
549;MART;;;;;;;
550;COSMOS;;;;;;;
551;ELENA DE SANTA MARIA;;;;;;;
552;FRANCISCO BOLOGNESI;;;;;;;
553;JOSE GALVEZ;;;;;;;
554;LIBERTADOR SAN MARTIN COOPERATIVO;;;;;;;
555;MODERNO;;;;;;;
556;NUESTRA SEÑORA DE CHAPI;;;;;;;
557;NUESTRA SEÑORA DE LA MACARENA;;;;;;;
558;NUESTRA SEÑORA DE LAS MERCEDES;;;;;;;
560;SAN JOSE;;;;;;;
562;SANTA MARIA MAZARELLO;;;;;;;
563;SANTA ROSA DE LIMA;;;;;;;
564;TOQUEPALA;;;;;;;
565;ADVENTISTA ALBORADA;;;;;;;
566;ALFRED BINET;;;;;;;
567;ATUSPARIA;;;;;;;
568;BAUTISTA;;;;;;;
569;CARLOS CUETO FERNANDINI;;;;;;;
570;DANIEL ALCIDES CARRION;;;;;;;
571;DANTE ALIGHIERI;;;;;;;
572;ERNEST RUTHEFORD;;;;;;;
573;FELIX TELLO ROJAS;;;;;;;
574;ISAAC NEWTON;;;;;;;
575;JEAN PIAGET;;;;;;;
576;JOSE DE SAN MARTIN GENERALISIMO;;;;;;;
577;JUAN PABLO II LA PAZ UNIVERSAL;;;;;;;
578;SAN FRANCISCO DE ASIS;;;;;;;
579;MARIA MILAGROSA;;;;;;;
580;NUESTRA SEÑORA DEL VALLE SEMINARIO;;;;;;;
581;PRIMERO DE MAYO -CAFAE- IPSS;;;;;;;
582;RUBEN DARIO;;;;;;;
583;SAN PATRICIO;;;;;;;
584;SANTA ISABEL;;;;;;;
585;SANTA ROSA DE LIMA;;;;;;;
586;B.F. SKINNER;;;;;;;
587;ABRAHAM VALDELOMAR;;;;;;;
588;ADVENTISTA TRUJILLO;;;;;;;
589;CESAR VALLEJO;;;;;;;
590;INDEPENDENCIA;;;;;;;
591;LORD BYRON;;;;;;;
592;LORD COCHRANE;;;;;;;
593;NIÑO JESUS DE PRAGA;;;;;;;
594;SAINT PATRICK;;;;;;;
595;SANTA ANGELA MERICI;;;;;;;
596;SANTA LUISA DE MARILLAC;;;;;;;
597;SANTA MARIA - ICA;;;;;;;
598;AGUSTIN GAMARRA DE HUANCAYO;;;;;;;
599;ALBERT EINSTEIN;;;;;;;
600;BERTRAND ROUSELL;;;;;;;
601;MUNICIPAL DE PUNO;;;;;;;
602;CHAVEZ DE LA ROSA;;;;;;;
603;CIENCIAS;;;;;;;
605;FLORENCE NIGHTINGALE;;;;;;;
606;GARCILASO DE LA VEGA;;;;;;;
607;GEORGE WASHINGTON;;;;;;;
608;GERMAN MENACHO ALPISTE;;;;;;;
609;HECTOR DE CARDENAS;;;;;;;
610;JEAN PIAGET;;;;;;;
611;JESUS MARIA;;;;;;;
612;LOS REYES ROJOS;;;;;;;
613;MARIA AUXILIADORA;;;;;;;
614;MARISCAL ORBEGOSO;;;;;;;
615;NUESTRA SEÑORA DEL CARMEN;;;;;;;
616;NUESTRA SEÑORA DEL ROSARIO;;;;;;;
617;NUESTRO SALVADOR PARROQUIAL;;;;;;;
618;REPUBLICA DE VENEZUELA;;;;;;;
619;REVERENDO HNO. GASTON MARIA;;;;;;;
620;SAGRADOS CORAZONES;;;;;;;
621;SAN ANTONIO;;;;;;;
622;SAN ANTONIO;;;;;;;
623;SAN FELIPE;;;;;;;
624;SAN FELIPE;;;;;;;
625;SAN FRANCISCO DE ASIS;;;;;;;
626;SAN JOSE;;;;;;;
627;SAN JUAN;;;;;;;
628;SANTA FELICIA;;;;;;;
